date;journal;compte;libelle;debit;credit;piece
2024-06-22;VT;411000;Facture N°FAC2024-0001 - CLIENT_013;9539.04;0.00;FAC2024-0001
2024-06-22;VT;700000;Vente marchandises - CLIENT_013;0.00;8016;FAC2024-0001
2024-06-22;VT;445700;TVA sur vente - CLIENT_013;0.00;1523.04;FAC2024-0001
2024-04-02;VT;411000;Facture N°FAC2024-0002 - CLIENT_008;216722.80;0.00;FAC2024-0002
2024-04-02;VT;700000;Vente marchandises - CLIENT_008;0.00;182120;FAC2024-0002
2024-04-02;VT;445700;TVA sur vente - CLIENT_008;0.00;34602.80;FAC2024-0002
2024-09-10;VT;411000;Facture N°FAC2024-0003 - CLIENT_015;546978.74;0.00;FAC2024-0003
2024-09-10;VT;700000;Vente marchandises - CLIENT_015;0.00;459646;FAC2024-0003
2024-09-10;VT;445700;TVA sur vente - CLIENT_015;0.00;87332.74;FAC2024-0003
2024-10-05;VT;411000;Facture N°FAC2024-0004 - CLIENT_008;472130.12;0.00;FAC2024-0004
2024-10-05;VT;700000;Vente marchandises - CLIENT_008;0.00;396748;FAC2024-0004
2024-10-05;VT;445700;TVA sur vente - CLIENT_008;0.00;75382.12;FAC2024-0004
2024-05-01;VT;411000;Facture N°FAC2024-0005 - CLIENT_002;474378.03;0.00;FAC2024-0005
2024-05-01;VT;700000;Vente marchandises - CLIENT_002;0.00;398637;FAC2024-0005
2024-05-01;VT;445700;TVA sur vente - CLIENT_002;0.00;75741.03;FAC2024-0005
2024-05-29;VT;411000;Facture N°FAC2024-0006 - CLIENT_002;560335.30;0.00;FAC2024-0006
2024-05-29;VT;700000;Vente marchandises - CLIENT_002;0.00;470870;FAC2024-0006
2024-05-29;VT;445700;TVA sur vente - CLIENT_002;0.00;89465.30;FAC2024-0006
2024-06-16;VT;411000;Facture N°FAC2024-0007 - CLIENT_014;500577.07;0.00;FAC2024-0007
2024-06-16;VT;700000;Vente marchandises - CLIENT_014;0.00;420653;FAC2024-0007
2024-06-16;VT;445700;TVA sur vente - CLIENT_014;0.00;79924.07;FAC2024-0007
2024-06-05;VT;411000;Facture N°FAC2024-0008 - CLIENT_005;449264.27;0.00;FAC2024-0008
2024-06-05;VT;700000;Vente marchandises - CLIENT_005;0.00;377533;FAC2024-0008
2024-06-05;VT;445700;TVA sur vente - CLIENT_005;0.00;71731.27;FAC2024-0008
2024-04-27;VT;411000;Facture N°FAC2024-0009 - CLIENT_014;35873.74;0.00;FAC2024-0009
2024-04-27;VT;700000;Vente marchandises - CLIENT_014;0.00;30146;FAC2024-0009
2024-04-27;VT;445700;TVA sur vente - CLIENT_014;0.00;5727.74;FAC2024-0009
2024-10-14;VT;411000;Facture N°FAC2024-0010 - CLIENT_019;59830.82;0.00;FAC2024-0010
2024-10-14;VT;700000;Vente marchandises - CLIENT_019;0.00;50278;FAC2024-0010
2024-10-14;VT;445700;TVA sur vente - CLIENT_019;0.00;9552.82;FAC2024-0010
2024-01-14;VT;411000;Facture N°FAC2024-0011 - CLIENT_015;7149.52;0.00;FAC2024-0011
2024-01-14;VT;700000;Vente marchandises - CLIENT_015;0.00;6008;FAC2024-0011
2024-01-14;VT;445700;TVA sur vente - CLIENT_015;0.00;1141.52;FAC2024-0011
2024-01-15;VT;411000;Facture N°FAC2024-0012 - CLIENT_020;19757.57;0.00;FAC2024-0012
2024-01-15;VT;700000;Vente marchandises - CLIENT_020;0.00;16603;FAC2024-0012
2024-01-15;VT;445700;TVA sur vente - CLIENT_020;0.00;3154.57;FAC2024-0012
2024-07-11;VT;411000;Facture N°FAC2024-0013 - CLIENT_001;297478.58;0.00;FAC2024-0013
2024-07-11;VT;700000;Vente marchandises - CLIENT_001;0.00;249982;FAC2024-0013
2024-07-11;VT;445700;TVA sur vente - CLIENT_001;0.00;47496.58;FAC2024-0013
2024-09-08;VT;411000;Facture N°FAC2024-0014 - CLIENT_008;103013.54;0.00;FAC2024-0014
2024-09-08;VT;700000;Vente marchandises - CLIENT_008;0.00;86566;FAC2024-0014
2024-09-08;VT;445700;TVA sur vente - CLIENT_008;0.00;16447.54;FAC2024-0014
2024-09-23;VT;411000;Facture N°FAC2024-0015 - CLIENT_004;244684.23;0.00;FAC2024-0015
2024-09-23;VT;700000;Vente marchandises - CLIENT_004;0.00;205617;FAC2024-0015
2024-09-23;VT;445700;TVA sur vente - CLIENT_004;0.00;39067.23;FAC2024-0015
2024-02-24;VT;411000;Facture N°FAC2024-0016 - CLIENT_017;515330.69;0.00;FAC2024-0016
2024-02-24;VT;700000;Vente marchandises - CLIENT_017;0.00;433051;FAC2024-0016
2024-02-24;VT;445700;TVA sur vente - CLIENT_017;0.00;82279.69;FAC2024-0016
2024-03-25;VT;411000;Facture N°FAC2024-0017 - CLIENT_006;372124.90;0.00;FAC2024-0017
2024-03-25;VT;700000;Vente marchandises - CLIENT_006;0.00;312710;FAC2024-0017
